Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.8732,0.9288,0.8732,0.8688,0.8694,0.632,0.6358,0.426
Gradient Boosting Classifier,0.8665,0.9206,0.8665,0.8613,0.8597,0.5997,0.6092,0.991
Ada Boost Classifier,0.861,0.9151,0.861,0.8551,0.8552,0.589,0.5955,0.363
Random Forest Classifier,0.8517,0.9021,0.8517,0.8459,0.8473,0.5702,0.5734,0.695
Logistic Regression,0.8503,0.9052,0.8503,0.8437,0.8447,0.5604,0.5655,0.391
SVM - Linear Kernel,0.8417,0.8921,0.8417,0.8356,0.8351,0.5332,0.5406,0.226
Linear Discriminant Analysis,0.841,0.8919,0.841,0.833,0.834,0.5286,0.5348,0.192
Ridge Classifier,0.8402,0.8919,0.8402,0.8316,0.8283,0.5047,0.5208,0.166
Extra Trees Classifier,0.8331,0.8791,0.8331,0.8282,0.83,0.5255,0.5268,0.756
K Neighbors Classifier,0.8259,0.8431,0.8259,0.8191,0.8214,0.4988,0.501,0.616
Decision Tree Classifier,0.8128,0.7465,0.8128,0.8142,0.8135,0.4895,0.4896,0.211
Dummy Classifier,0.7607,0.5,0.7607,0.5787,0.6574,0.0,0.0,0.114
Quadratic Discriminant Analysis,0.6668,0.7623,0.6668,0.7683,0.6806,0.2736,0.3124,0.185
Naive Bayes,0.6536,0.867,0.6536,0.8249,0.6774,0.3402,0.4202,0.169
